지 역,지역구분,세분류,세세분류,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,id
서울,강북지역,도심권,종로구,99.181,99.529,99.646,99.768,99.834,100,100.39,101.182,10001
서울,강북지역,도심권,중구,98.379,98.963,99.21,99.376,99.506,100,100.377,101.003,10002
서울,강북지역,도심권,용산구,98.163,98.704,98.99,99.234,99.522,100,100.636,101.598,10003
서울,강북지역,동북권,용산구,96.867,97.598,98.11,98.569,99.037,100,100.924,101.931,10004
서울,강북지역,동북권,성동구,98.063,98.737,99.107,99.312,99.537,100,100.464,101.011,10005
서울,강북지역,동북권,광진구,97.795,98.565,99.051,99.362,99.623,100,100.533,101.052,10006
서울,강북지역,동북권,동대문구,97.771,98.572,98.978,99.258,99.528,100,100.519,101.144,10007
서울,강북지역,동북권,중랑구,98.157,98.583,98.942,99.252,99.495,100,100.809,101.774,10008
서울,강북지역,동북권,성북구,97.769,98.172,98.518,98.857,99.211,100,100.671,101.521,10009
서울,강북지역,동북권,강북구,97.788,98.513,98.758,98.992,99.237,100,100.677,101.363,10010
서울,강북지역,동북권,도봉구,96.236,97.11,97.782,98.334,98.859,100,101.142,102.421,10011
서울,강북지역,동북권,노원구,95.104,96.006,96.724,97.489,98.322,100,101.491,103.003,10012
서울,강북지역,서북권,노원구,97.584,98.242,98.615,98.893,99.241,100,100.645,101.433,10013
서울,강북지역,서북권,은평구,97.756,98.34,98.672,99.012,99.372,100,100.673,101.611,10014
서울,강북지역,서북권,서대문구,98.531,98.871,99.085,99.25,99.447,100,100.531,101.069,10015
서울,강북지역,서북권,마포구,96.742,97.694,98.217,98.531,98.981,100,100.713,101.572,10016
서울,강남지역,서북권,마포구,96.879,97.486,97.98,98.424,98.945,100,100.8,101.715,10017
서울,강남지역,서남권,마포구,97.491,98.024,98.475,98.842,99.242,100,100.713,101.532,10018
서울,강남지역,서남권,양천구,97.093,97.538,98.119,98.62,99.205,100,100.521,101.153,10019
서울,강남지역,서남권,강서구,98.016,98.452,98.832,99.108,99.395,100,100.782,101.827,10020
서울,강남지역,서남권,구로구,98.088,98.518,98.878,99.163,99.444,100,100.615,101.342,10021
서울,강남지역,서남권,금천구,98.169,98.668,98.957,99.23,99.477,100,100.628,101.149,10022
서울,강남지역,서남권,영등포구,97.402,98.009,98.399,98.761,99.225,100,100.756,101.565,10023
서울,강남지역,서남권,동작구,96.581,97.12,97.704,98.182,98.723,100,100.94,101.83,10024
