지 역,지역구분,세분류,세세분류,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,id
부산,서구,의정부시,일산서구,94.186,95.453,96.267,96.97,97.966,100,101.086,102.281,10093
부산,중부산권,의정부시,일산서구,95.284,96.612,97.322,97.858,98.57,100,100.799,101.656,10094
부산,중부산권,중구,일산서구,98.374,98.24,98.42,98.501,98.9,100,100.628,101.229,10095
부산,중부산권,서구,일산서구,97.517,98.187,98.446,98.759,99.253,100,100.378,100.804,10096
부산,중부산권,동구,일산서구,96.827,97.219,97.621,98.107,98.611,100,100.734,101.909,10097
부산,중부산권,영도구,일산서구,96.749,96.963,97.176,97.556,98.175,100,100.524,101.066,10098
부산,중부산권,부산진구,일산서구,95.858,97.11,97.696,98.313,98.988,100,100.533,101.04,10099
부산,중부산권,남구,일산서구,94.033,96.392,97.643,98.194,98.806,100,100.643,101.106,10100
부산,중부산권,연제구,일산서구,93.81,95.518,96.396,97.039,97.852,100,101.246,103.029,10101
부산,중부산권,수영구,일산서구,95.315,95.938,96.447,96.887,97.983,100,101.522,103.027,10102
부산,동부산권,수영구,일산서구,92.758,94.095,95.082,95.986,97.359,100,101.431,103.073,10103
부산,동부산권,해운대구,일산서구,91.404,92.712,93.843,94.976,96.704,100,102.162,104.467,10104
부산,동부산권,금정구,일산서구,94.634,95.748,96.447,97.09,97.816,100,100.616,101.519,10105
부산,동부산권,동래구,일산서구,93.914,95.171,96.138,97.024,97.912,100,101.114,102.528,10106
부산,동부산권,기장군,일산서구,92.545,94.362,95.316,95.91,97.817,100,100.857,101.897,10107
부산,서부산권,기장군,일산서구,94.416,95.534,96.28,96.965,97.892,100,101.065,102.197,10108
부산,서부산권,북구,일산서구,94.981,96.177,96.806,97.354,98.048,100,101.182,102.464,10109
부산,서부산권,강서구,일산서구,92.244,93.365,94.72,96.537,98.136,100,101.106,102.006,10110
부산,서부산권,사상구,일산서구,94.984,95.85,96.505,96.876,97.732,100,100.645,101.574,10111
부산,서부산권,사하구,일산서구,94.228,95.432,96.146,96.787,97.762,100,101.214,102.415,10112
대구,서부산권,사하구,일산서구,93.953,95.587,96.978,97.995,98.952,100,100.389,100.659,10113
대구,중구,사하구,일산서구,93.142,94.933,96.547,97.68,98.869,100,100.191,100.275,10114
대구,동구,사하구,일산서구,94.448,96.376,97.666,98.337,99.13,100,100.265,100.457,10115
대구,서구,사하구,일산서구,95.252,96.667,97.797,98.668,99.427,100,100.307,100.42,10116
대구,남구,사하구,일산서구,95.464,96.52,97.477,98.413,99.087,100,100.315,100.527,10117
대구,북구,사하구,일산서구,95.154,96.406,97.457,98.424,99.185,100,100.296,100.511,10118
대구,수성구,사하구,일산서구,92.064,94.354,96.072,97.192,98.561,100,100.594,101.079,10119
대구,달서구,사하구,일산서구,94.054,95.679,97.104,98.105,99.001,100,100.364,100.56,10120
대구,달성군,사하구,일산서구,93.71,94.816,96.393,97.743,98.748,100,100.488,100.852,10121
광주,달성군,사하구,일산서구,97.011,97.442,97.814,98.317,98.838,100,100.864,101.885,10122
광주,동구,사하구,일산서구,97.688,97.997,98.189,98.492,98.965,100,100.461,100.863,10123
광주,서구,사하구,일산서구,98.159,98.442,98.608,98.865,99.129,100,100.688,101.529,10124
광주,남구,사하구,일산서구,96.899,97.375,97.779,98.504,99.146,100,100.502,101.486,10125
광주,북구,사하구,일산서구,96.707,97.083,97.407,97.958,98.618,100,101.095,102.274,10126
광주,광산구,사하구,일산서구,96.356,96.966,97.572,98.143,98.665,100,101.026,102.162,10127
대전,광산구,사하구,일산서구,93.186,94.72,96.194,97.442,98.569,100,100.994,102.335,10128
대전,동구,사하구,일산서구,94.311,95.442,96.54,97.533,98.648,100,100.782,102.117,10129
대전,중구,사하구,일산서구,93.049,94.423,95.915,97.309,98.368,100,100.94,102.236,10130
대전,서구,사하구,일산서구,93.184,94.779,96.33,97.655,98.59,100,100.966,102.42,10131
대전,유성구,사하구,일산서구,92.26,94.105,95.759,97.002,98.563,100,101.048,102.359,10132
대전,대덕구,사하구,일산서구,94.198,95.509,96.739,97.857,98.705,100,101.284,102.401,10133
울산,대덕구,사하구,일산서구,96.578,97.676,98.294,98.743,99.136,100,100.885,101.841,10134
울산,중구,사하구,일산서구,94.974,96.564,97.358,98.167,98.904,100,100.195,100.577,10135
울산,남구,사하구,일산서구,97.209,97.975,98.493,98.914,99.172,100,100.753,101.844,10136
울산,동구,사하구,일산서구,97.783,98.658,98.788,99.013,99.207,100,102.325,103.257,10137
울산,북구,사하구,일산서구,95.87,97.394,98.055,98.628,99.305,100,100.63,101.698,10138
울산,울주군,사하구,일산서구,96.891,97.76,98.707,98.905,99.038,100,100.938,102.046,10139
세종,울주군,사하구,일산서구,97.993,98.928,99.595,100.028,100.15,100,99.795,99.505,10140
강원,울주군,사하구,일산서구,96.541,97.28,97.962,98.633,99.167,100,100.741,101.733,10141
강원,춘천시,사하구,일산서구,95.81,96.447,97.199,98.202,98.979,100,101.07,102.31,10142
강원,원주시,사하구,일산서구,96.242,97.548,98.548,99.157,99.477,100,100.51,101.432,10143
강원,강릉시,사하구,일산서구,94.84,95.583,96.408,97.352,98.349,100,100.776,102.149,10144
강원,동해시,사하구,일산서구,99.195,99.245,99.333,99.449,99.669,100,100.305,100.658,10145
강원,태백시,사하구,일산서구,99.465,99.625,99.728,99.837,99.929,100,99.956,100.108,10146
강원,속초시,사하구,일산서구,96.73,97.244,97.628,98.222,98.807,100,102.499,104.73,10147
강원,삼척시,사하구,일산서구,99.456,99.374,99.404,99.606,99.707,100,100.161,100.303,10148
충북,삼척시,사하구,일산서구,95.366,96.069,96.849,97.692,98.566,100,101.093,102.353,10149
충북,청주시,사하구,일산서구,94.96,95.715,96.706,97.619,98.51,100,101.084,102.293,10150
충북,청주시,상당구,일산서구,96.444,96.896,97.686,98.396,99.097,100,101.14,102.375,10151
충북,청주시,서원구,일산서구,95.03,95.695,96.411,97.189,98.23,100,101.485,103.016,10152
충북,청주시,흥덕구,일산서구,93.972,94.861,96.136,97.215,98.317,100,100.983,102.352,10153
충북,청주시,청원구,일산서구,94.887,95.823,96.91,97.924,98.545,100,100.751,101.37,10154
충북,충주시,청원구,일산서구,95.528,96.394,96.839,97.571,98.721,100,101.071,102.715,10155
충북,제천시,청원구,일산서구,95.345,95.809,96.272,96.825,97.628,100,101.68,103.535,10156
충북,음성군,청원구,일산서구,95.111,96.027,96.696,97.712,98.65,100,100.664,101.501,10157
충남,음성군,청원구,일산서구,95.102,95.993,96.848,97.896,98.815,100,101.017,102.224,10158
충남,천안시,청원구,일산서구,94.805,95.735,96.628,97.864,98.783,100,101.303,102.778,10159
충남,천안시,동남구,일산서구,94.751,95.561,96.248,97.316,98.365,100,101.281,102.452,10160
충남,천안시,서북구,일산서구,94.834,95.826,96.829,98.156,99.005,100,101.315,102.958,10161
충남,공주시,서북구,일산서구,94.563,96.307,97.356,98.18,98.892,100,100.638,101.318,10162
충남,보령시,서북구,일산서구,96.762,97.026,97.631,98.521,99.305,100,101.798,103.615,10163
충남,아산시,서북구,일산서구,92.333,93.779,95.06,96.508,98.029,100,101.242,102.686,10164
충남,서산시,서북구,일산서구,98.224,98.229,98.317,98.884,99.39,100,100.189,100.867,10165
충남,논산시,서북구,일산서구,97.5,97.956,98.484,98.835,99.197,100,100.602,101.15,10166
충남,계룡시,서북구,일산서구,91.439,93.789,95.757,97.06,98.162,100,100.911,101.942,10167
충남,홍성군,서북구,일산서구,90.109,91.534,93.241,95.668,97.751,100,100.698,101.565,10168
충남,예산군,서북구,일산서구,96.116,96.84,97.896,98.375,99.691,100,100.493,100.816,10169
충남,당진시,서북구,일산서구,101.429,101.028,100.817,100.474,100.14,100,100.356,101.071,10170
전북,당진시,서북구,일산서구,97.948,98.074,98.245,98.624,99.051,100,100.993,102.031,10171
전북,전주시,서북구,일산서구,97.504,97.62,97.824,98.273,98.771,100,100.995,102.226,10172
전북,전주시,완산구,일산서구,97.158,97.32,97.536,97.957,98.471,100,101.014,102.198,10173
전북,전주시,덕진구,일산서구,97.894,97.958,98.148,98.629,99.108,100,100.974,102.256,10174
전북,군산시,덕진구,일산서구,97.226,97.404,97.625,98.113,98.633,100,101.898,103.578,10175
전북,익산시,덕진구,일산서구,99.285,99.383,99.511,99.684,99.812,100,100.31,100.582,10176
전북,정읍시,덕진구,일산서구,97.862,98.048,98.096,98.483,99.327,100,101.047,101.483,10177
전북,남원시,덕진구,일산서구,99.69,99.75,99.703,99.7,99.783,100,100.266,100.857,10178
전북,김제시,덕진구,일산서구,98.734,98.823,99.056,99.181,99.543,100,100.639,101.112,10179
전남,김제시,덕진구,일산서구,99.036,99.133,99.187,99.33,99.488,100,100.369,100.845,10180
전남,목포시,덕진구,일산서구,100.708,100.066,99.588,99.595,99.491,100,100.351,100.813,10181
전남,여수시,덕진구,일산서구,97.471,98.056,98.43,98.75,99.128,100,100.443,100.999,10182
